region,planning_area,num_malls,num_mrt,num_primary_schools,num_secondary_schools,num_polytechnics,num_junior_colleges,num_universities,num_parks,num_gyms,num_hawker_centres
EAST,BEDOK,3,11,9,9,0,1,0,58,10,10
WEST,BOON LAY,0,2,0,0,0,0,0,0,0,0
WEST,BUKIT BATOK,2,5,6,5,0,0,0,12,1,1
CENTRAL,BUKIT MERAH,2,10,7,4,0,0,0,9,15,15
WEST,BUKIT PANJANG,5,10,9,3,0,0,0,14,2,2
CENTRAL,BUKIT TIMAH,3,9,6,3,1,2,2,35,2,2
NORTH,CENTRAL WATER CATCHMENT,0,0,1,0,0,0,0,6,0,0
EAST,CHANGI,1,4,0,0,0,0,0,7,1,1
WEST,CHOA CHU KANG,8,10,8,5,0,1,0,2,0,0
WEST,CLEMENTI,4,3,4,3,0,0,0,12,5,5
NORTH-EAST,HOUGANG,7,5,8,8,0,2,0,17,3,3
WEST,JURONG EAST,4,9,3,3,0,0,0,3,3,3
WEST,JURONG WEST,5,9,11,10,0,0,0,6,4,4
EAST,PASIR RIS,4,6,6,4,0,1,0,9,1,1
WEST,PIONEER,0,2,0,0,0,0,0,0,0,0
NORTH-EAST,PUNGGOL,4,19,11,4,0,0,0,2,2,2
CENTRAL,QUEENSTOWN,4,9,3,5,1,1,2,9,9,9
NORTH-EAST,SELETAR,0,0,0,0,0,0,0,1,0,0
NORTH,SEMBAWANG,3,2,5,2,0,0,0,10,1,1
NORTH-EAST,SENGKANG,4,16,12,6,0,0,0,7,3,3
NORTH-EAST,SERANGOON,3,5,4,4,0,1,0,36,2,2
CENTRAL,KALLANG,4,8,3,2,0,0,0,11,7,7
NORTH,LIM CHU KANG,0,0,0,0,0,0,0,5,0,0
NORTH-EAST,NORTH-EASTERN ISLANDS,0,0,0,0,0,0,0,3,0,0
CENTRAL,NOVENA,4,3,2,3,0,2,0,9,3,3
NORTH,SIMPANG,0,0,0,0,0,0,0,0,0,0
CENTRAL,SOUTHERN ISLANDS,0,0,0,0,0,0,0,0,0,0
NORTH,SUNGEI KADUT,0,4,0,0,0,0,0,4,0,0
CENTRAL,TOA PAYOH,2,7,7,7,0,2,0,11,7,7
WEST,TUAS,0,3,0,0,0,0,0,0,0,0
WEST,WESTERN ISLANDS,0,0,0,0,0,0,0,0,0,0
WEST,WESTERN WATER CATCHMENT,0,4,0,0,0,0,1,0,0,0
NORTH,WOODLANDS,8,6,12,10,1,0,1,5,3,3
CENTRAL,RIVER VALLEY,0,3,1,0,0,0,0,1,0,0
CENTRAL,ROCHOR,4,6,1,0,0,0,2,1,3,3
CENTRAL,SINGAPORE RIVER,1,2,0,0,0,0,0,1,0,0
CENTRAL,STRAITS VIEW,0,2,0,0,0,0,0,0,0,0
EAST,CHANGI BAY,0,0,0,0,0,0,0,0,0,0
CENTRAL,MARINE PARADE,5,4,3,4,0,0,0,9,3,3
CENTRAL,DOWNTOWN CORE,17,18,0,0,0,0,0,12,3,3
CENTRAL,MARINA EAST,0,1,0,0,0,0,0,1,0,0
CENTRAL,MARINA SOUTH,0,1,0,0,0,0,0,0,0,0
CENTRAL,MUSEUM,1,4,0,0,0,0,1,9,0,0
CENTRAL,NEWTON,0,2,0,0,0,1,0,1,1,1
CENTRAL,ORCHARD,19,2,0,0,0,0,0,2,0,0
CENTRAL,OUTRAM,4,6,0,1,0,0,0,5,5,5
EAST,TAMPINES,7,10,11,9,1,1,2,13,2,2
CENTRAL,TANGLIN,0,5,0,0,0,0,0,5,1,1
WEST,TENGAH,0,4,0,0,0,0,0,0,0,0
NORTH,MANDAI,0,0,0,0,0,0,0,3,0,0
CENTRAL,BISHAN,4,6,2,5,0,2,0,18,1,1
NORTH-EAST,ANG MO KIO,3,7,7,7,1,0,1,31,10,10
CENTRAL,GEYLANG,3,10,5,3,0,0,0,13,10,10
EAST,PAYA LEBAR,0,0,0,0,0,0,0,0,0,0
NORTH,YISHUN,3,3,9,9,0,2,0,11,2,2
